scientific_name,alias,source,notes
Linaria cannabina,Carduelis cannabina,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Linaria flavirostris,Carduelis flavirostris,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lophoceros alboterminatus,Tockus alboterminatus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lophoceros nasutus,Tockus nasutus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lophorina superba,Lophorina niedda,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lophornis delattrei,Lophornis cf.,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lophotis ruficrista,Eupodotis ruficrista,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Lupulella mesomelas,Canis mesomelas,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Macronyx fuelleborni,Macronyx fuellebornii,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Mareca falcata,Anas falcata,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Mareca penelope,Anas penelope,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Mareca sibilatrix,Anas sibilatrix,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Mareca strepera,Anas strepera,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Megascops watsonii,Megascops usta,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Megatibicen figuratus,Tibicen figurata,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Megatibicen grossus,Megatibicen auletes,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_synonym
Megatibicen grossus,Megatibicen grossa,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
